61,@FroslassingPlus 笑えないネタをだすんじゃねぇ……,Fri Apr 12 10:56:25 +0000 2019
62,@FroslassingPlus ほんdoがはよ来いってブチギレてるぞ,Fri Apr 12 10:52:43 +0000 2019
63,スタバの新作よりも魔剤の新作が飲みたい、切実に,Fri Apr 12 05:51:09 +0000 2019
64,プレゼンだけ露骨に人気ないの草生えますわ,Fri Apr 12 05:27:34 +0000 2019
65,そうすると春cの金曜が全休になるから逆にアドかも,Fri Apr 12 05:26:08 +0000 2019
66,専門英語Aを水曜4限にいれて、3限にtestingかな…,Fri Apr 12 05:25:07 +0000 2019
67,英語落ちててガチで萎えてる,Fri Apr 12 05:17:43 +0000 2019
68,@yntpass ワンチャン抽選落ちてんのか俺…,Thu Apr 11 11:37:20 +0000 2019
69,@yntpass え、どんな画面になってる？,Thu Apr 11 11:34:45 +0000 2019
70,@fjord_ITF おぉーマジか知らなかったわサンガツ,Thu Apr 11 10:40:01 +0000 2019
71,まぁ最悪取れなかったら秋に2つ取ればいい話か,Thu Apr 11 10:23:16 +0000 2019
72,14時って授業の後じゃん…,Thu Apr 11 10:23:06 +0000 2019
73,あれ、専門英語基礎演習…？ https://t.co/PczT0l7nvn,Thu Apr 11 10:19:52 +0000 2019
74,@irizon_klis 天才すぎて言葉がでねぇよ…,Thu Apr 11 03:12:07 +0000 2019
75,"@irizon_klis 乙やな
戻って質的の予習でもやってな！",Thu Apr 11 03:03:15 +0000 2019
76,@irizon_klis らしいね,Thu Apr 11 02:59:37 +0000 2019
77,@FroslassingPlus 天才スギィ！,Thu Apr 11 02:57:38 +0000 2019
78,質的休講か、寝るかゲームするか迷うな…,Thu Apr 11 02:51:49 +0000 2019
79,シス概と同じかんじは助かる,Wed Apr 10 23:54:48 +0000 2019
80,あれ、もう帰れる？？,Wed Apr 10 23:54:16 +0000 2019
81,今日フルコマ〜…,Wed Apr 10 20:37:15 +0000 2019
82,担任前の方がよかったわ,Tue Apr 09 04:35:25 +0000 2019
83,@FroslassingPlus @yntpass 飯テロやめいｗ,Tue Apr 09 03:35:24 +0000 2019
84,@yntpass @FroslassingPlus よっしゃ！,Tue Apr 09 03:34:13 +0000 2019
85,@yntpass 夜飯ワンチャン？,Tue Apr 09 03:32:25 +0000 2019
86,気づいたら朝になってるし,Mon Apr 08 21:34:20 +0000 2019
87,何回泣きそうになったかわかんねぇ,Mon Apr 08 21:34:07 +0000 2019
88,リゼロ、鬱のイメージしかなかったけど改めてみたら感動しかなかった,Mon Apr 08 21:33:49 +0000 2019
89,"夏休みに治験やってみようかな
ちょっと危険な気はするけど…",Mon Apr 08 18:46:55 +0000 2019
90,漫喫ありだけど遠すぎ問題,Mon Apr 08 18:39:00 +0000 2019
91,週2くらいでやりたいって気持ちはあるけど,Mon Apr 08 18:35:38 +0000 2019
92,バイト探してるけど全部ブラックに見えてなかなか決まらねぇ,Mon Apr 08 18:35:02 +0000 2019
93,もこうがでてたNHK今日だったのかよ…,Mon Apr 08 18:23:42 +0000 2019
94,自由単の12単位を今年中にとりきっちゃうと来年の専門科目を余分にとったとき無駄な単位がでてくるのか,Mon Apr 08 16:57:55 +0000 2019
95,"ベタだけど自分の作った料理を美味いって言ってもらえるのマジで嬉しい
料理人にでもなるか〜",Mon Apr 08 16:55:30 +0000 2019
96,春C以降、全休が最低でも1日あって最高,Mon Apr 08 16:41:05 +0000 2019
97,きそすーB、多変量解析、量的はとらないけど他に切った方がいいやつとかありますかね,Sun Apr 07 17:58:49 +0000 2019
98,"@fjord_ITF 流石にそうだよね
りょうかいっす",Sun Apr 07 17:54:55 +0000 2019
99,"@fjord_ITF こんなのあったんだ
これって図概とか基礎数みたいに専門基礎科目としてカウントできる？",Sun Apr 07 17:45:58 +0000 2019
100,シラバスに2019年度以降の入学者対象ってなってるけどとれるのか？,Sun Apr 07 17:39:50 +0000 2019
101,コン応とれないの辛い,Sun Apr 07 17:37:39 +0000 2019
102,キャンパスツアー楽しかったけど歩きすぎて足が死んでる…,Sun Apr 07 07:42:04 +0000 2019
103,LiSAいいなーやっぱ,Sat Apr 06 14:58:54 +0000 2019
104,作画も声優もBGMも既にやばい,Sat Apr 06 14:35:51 +0000 2019
105,鬼滅の刃はじまったぁあああ！,Sat Apr 06 14:34:18 +0000 2019
106,そういえば大学循環バスの定期買ったけど結局1回も使わなかったな…,Thu Apr 04 09:19:46 +0000 2019
107,盾の勇者のopかっこよすぎんか,Wed Apr 03 20:52:46 +0000 2019
108,もう4月のはずなのに寒すぎとちゃうか,Wed Apr 03 20:44:20 +0000 2019
109,寒すぎて暖房つけてる,Wed Apr 03 20:43:47 +0000 2019
110,"@FroslassingPlus おけ笑
また決まったら送るわー",Wed Apr 03 12:05:56 +0000 2019
111,@FroslassingPlus もう履修組んだ？,Wed Apr 03 12:02:38 +0000 2019
112,久々に長時間ゲームして目が死んでる,Wed Apr 03 00:07:13 +0000 2019
113,ハンターライセンスは売れば7代先の子孫まで遊んで暮らせるんだよなぁ,Tue Apr 02 16:48:41 +0000 2019
114,twinsログインできると思ったら履修登録来週からかよ,Tue Apr 02 16:38:04 +0000 2019
115,"アニメマジで10周くらいしてるんだよなぁ
もちろん見るけど",Tue Apr 02 16:34:52 +0000 2019
116,ハンターハンター懐かしすぎて…,Tue Apr 02 16:32:51 +0000 2019
117,@yntpass 辞めて新しいバイト探そうぜ,Sun Mar 31 17:20:54 +0000 2019
118,EDで走るアニメは神作ってそれ一番言われてるんだよな,Sat Mar 30 18:28:09 +0000 2019
119,"かぐや様最終回めちゃくちゃよかったな〜
こんなに気持ちよく見終われたアニメ久々かも",Sat Mar 30 18:24:26 +0000 2019
120,窓の横にベッド置いたけど、寝とる時に蹴破ったり転げ落ちたりしないか心配…,Mon Mar 18 07:42:11 +0000 2019
121,でもまだWi-Fiないから宿舎で寝る,Mon Mar 18 07:37:19 +0000 2019
122,引越しほとんど終わった,Mon Mar 18 07:36:48 +0000 2019
123,"つくば着いた
飯のお誘い、待ってます",Sat Mar 16 08:14:50 +0000 2019
124,@FroslassingPlus 行くぞォオオオ！,Sat Mar 16 03:33:19 +0000 2019
125,@irizon_klis 引越しが明後日にあるからね,Sat Mar 16 03:32:50 +0000 2019
126,"乗り換えミスるとこやったわ
フェイントが過ぎるぜ…",Sat Mar 16 03:02:47 +0000 2019
127,つくば遠すぎるー、まだ松阪,Sat Mar 16 02:46:49 +0000 2019
128,2クールやってくれないのマジで辛い,Thu Mar 14 17:54:08 +0000 2019
129,約ネバやばすぎ、いやマジで,Thu Mar 14 17:53:49 +0000 2019
130,Nヴァンプだけ異常に強すぎでしょｗ,Thu Mar 14 10:49:51 +0000 2019
131,大会優勝者のデッキ使えるってのは結構ええなぁ,Thu Mar 14 10:48:58 +0000 2019
132,"RT @shadowverse_jp: 3月16日より、グランプリ「Legacy Decks Cup」開催決定！
歴代の人気デッキを、当時のカード能力のまま使用できる特殊フォーマットグランプリです！
詳細は公式サイトをご覧ください。

■グランプリ開催期間：3月16日 15:0…",Thu Mar 14 10:48:30 +0000 2019
133,明らかなニートで草 https://t.co/3vBsVhhtae,Wed Mar 13 17:20:02 +0000 2019
134,RT @mokouliszt: 砂の惑星／もこう 【歌ってみた】 cover https://t.co/tN2cxymByL,Mon Mar 11 11:34:02 +0000 2019
135,@theeightballboi んなわけ,Sun Mar 10 06:52:19 +0000 2019
136,"@FroslassingPlus ばにばにの場合は卒業すればそれで""勝ち""だから大丈夫",Sun Mar 10 00:40:19 +0000 2019
137,"入試区分とか関係ないでしょ
重要なのは入学してから""単位""が取れるかどうか
これだけなんだよなぁ…",Sun Mar 10 00:12:49 +0000 2019
138,まぁそんなこと入学したらみんな忘れるだろうけど,Sat Mar 09 23:49:22 +0000 2019
139,なりすましあったのか、歴史は繰り返すね,Sat Mar 09 23:49:00 +0000 2019
140,あー早くつくば戻ってラーメン食いてぇ,Sat Mar 09 09:52:14 +0000 2019
141,RT @wolpis_kater: 【動画】【ウォルピス社】ADAMASを歌ってみました【提供】 https://t.co/mqEemp4rbd を投稿しました。 #sm34744292,Fri Mar 08 10:42:46 +0000 2019
142,合格発表なんか初々しくていいね,Fri Mar 08 02:18:04 +0000 2019
143,RT @risru17: 【動画】【りする】ベノム【歌ってみた】 https://t.co/kG0bAL6mQ0 を投稿しました。 #sm34705796,Thu Feb 28 11:35:03 +0000 2019
144,GPAも微妙に上がってる,Fri Feb 22 05:56:47 +0000 2019
145,無事45単位とれてたぜ,Fri Feb 22 05:55:08 +0000 2019
146,寝落ちして2時間くらい寝たと思ったら14時間寝てた,Sat Feb 16 07:47:15 +0000 2019
147,今って夕方？,Sat Feb 16 07:46:12 +0000 2019
148,"カラオケ最高に楽しかった
1年生最後の締めになったね",Fri Feb 15 17:28:21 +0000 2019
149,みんなのカラオケの曲がささりすぎてやばいw,Fri Feb 15 15:47:09 +0000 2019
150,ほんdoもう少しそこで待ってて,Fri Feb 15 12:44:27 +0000 2019
151,腹がヤバイ,Fri Feb 15 12:43:45 +0000 2019
152,焼肉の度にもう二度と来ないと誓ってる,Fri Feb 15 12:43:24 +0000 2019
153,最後の中国語の授業マジででなければよかったわ,Fri Feb 15 07:55:58 +0000 2019
154,春休み〜,Fri Feb 15 07:55:08 +0000 2019
155,徹夜、良くない,Thu Feb 14 22:54:39 +0000 2019
156,あとチャイ語と英語の授業終えたら春休みや,Thu Feb 14 22:51:36 +0000 2019
157,年内に終わらせるとか言いながら締切当日の朝に終わらせるという,Thu Feb 14 22:50:22 +0000 2019
158,ヨロ史のレポ終わったーぁぁぁぁ！,Thu Feb 14 22:49:26 +0000 2019
159,先週で終わりじゃねーのかよ,Thu Feb 14 10:51:15 +0000 2019
160,明日中国語の補講とか聞いてないんだが…,Thu Feb 14 10:51:01 +0000 2019
161,ヨロ史ばっこりやるか,Thu Feb 14 06:03:05 +0000 2019
162,正直英語の勉強はだいぶ前に終わってたけど…,Wed Feb 13 21:55:23 +0000 2019
163,これくらいの時間に寝ると日中深夜テンションになる(？),Wed Feb 13 21:54:50 +0000 2019
164,C1英語のテスト範囲ってどこ？残ってるとこ全部でいいの,Wed Feb 13 16:16:49 +0000 2019
165,ラジオが隔週なのが辛いところ,Wed Feb 13 16:05:36 +0000 2019
166,盾の勇者だんだん面白くなってるな,Wed Feb 13 16:05:06 +0000 2019
167,今日統計のテスト終わってからずっと背中痛いって言ってる,Wed Feb 13 08:11:25 +0000 2019
168,誰か背中の痛みに詳しい人いませんかね,Wed Feb 13 08:10:48 +0000 2019
169,背中マジで痛い,Wed Feb 13 08:10:31 +0000 2019
